Commit Number	Author	Date	Line	Content
3fdff06e	Ton That Tu Nguyen	7/25/24 0:03	25	PyInquirer = "^1.0.3"
3fdff06e	Ton That Tu Nguyen	7/25/24 0:03	1	numpy==1.26.4
3fdff06e	Ton That Tu Nguyen	7/25/24 0:03	13	pytest==8.2.2
3fdff06e	Ton That Tu Nguyen	7/25/24 0:03	14	pytest-html==4.1.1
3fdff06e	Ton That Tu Nguyen	7/25/24 0:03	15	PyInquirer
b4f90658	Ton That Tu Nguyen	7/24/24 21:47	67	@click.option(
b4f90658	Ton That Tu Nguyen	7/24/24 21:47	68	    "--keywords",
b4f90658	Ton That Tu Nguyen	7/24/24 21:47	69	    "-k",
b4f90658	Ton That Tu Nguyen	7/24/24 21:47	70	    type=str,
b4f90658	Ton That Tu Nguyen	7/24/24 21:47	71	    default=None,
b4f90658	Ton That Tu Nguyen	7/24/24 21:47	72	    required=False,
b4f90658	Ton That Tu Nguyen	7/24/24 21:47	73	    callback=OptionValidator.validate_keywords,
b4f90658	Ton That Tu Nguyen	7/24/24 21:47	74	    help="Comma-separated list of keywords to search for in news headlines",
b4f90658	Ton That Tu Nguyen	7/24/24 21:47	75	)
3fdff06e	Ton That Tu Nguyen	7/25/24 0:03	76	def main(include: str, exclude: str, target_dir: str, limit: int, filter_sentiment: str, interactive: bool, keywords: str):
b4f90658	Ton That Tu Nguyen	7/24/24 21:47	103	            keywords=(keywords.split(","
b4f90658	Ton That Tu Nguyen	7/24/24 21:47	117	    )
b4f90658	Ton That Tu Nguyen	7/24/24 21:47	156	    keywords = prompt({
b4f90658	Ton That Tu Nguyen	7/24/24 21:47	157	        'type': 'input',
b4f90658	Ton That Tu Nguyen	7/24/24 21:47	158	        'name': 'keywords',
b4f90658	Ton That Tu Nguyen	7/24/24 21:47	159	        'message': 'Please enter a comma-separated list of keywords to search for in news headlines.',
b4f90658	Ton That Tu Nguyen	7/24/24 21:47	160	        'default': '',
b4f90658	Ton That Tu Nguyen	7/24/24 21:47	161	    })['keywords']
b4f90658	Ton That Tu Nguyen	7/24/24 21:47	176	        limit=int(max_results
3fdff06e	Ton That Tu Nguyen	7/25/24 0:03	177	        keywords=keywords.split(","
b4f90658	Ton That Tu Nguyen	7/24/24 21:47	178	    )
b4f90658	Ton That Tu Nguyen	7/24/24 21:47	13	        filter_sentiment: str = None,
b4f90658	Ton That Tu Nguyen	7/24/24 21:47	14	        keywords: List[str] = None,
b4f90658	Ton That Tu Nguyen	7/24/24 21:47	22	        self.keywords = keywords
3a6d7813	Ton That Tu Nguyen	7/22/24 1:06	19	    @staticmethod
3a6d7813	Ton That Tu Nguyen	7/22/24 1:06	20	    def _display_report(html_content: str, file_path: str
3a6d7813	Ton That Tu Nguyen	7/22/24 1:06	22	            with open(file_path, "w", encoding='utf-8'
3a6d7813	Ton That Tu Nguyen	7/22/24 1:06	23	                file.write(DisplayReport.sanitize_html_content(html_content))
3a6d7813	Ton That Tu Nguyen	7/22/24 1:06	25	            return True
3a6d7813	Ton That Tu Nguyen	7/22/24 1:06	27	            print(f"Failed to write/open HTML file in web browser: {e}")
3a6d7813	Ton That Tu Nguyen	7/22/24 1:06	28	            return False
3a6d7813	Ton That Tu Nguyen	7/22/24 1:06	30	    @staticmethod
3a6d7813	Ton That Tu Nguyen	7/22/24 1:06	31	    def build_export_path(target_dir: str
3a6d7813	Ton That Tu Nguyen	7/22/24 1:06	32	        if target_dir:
3a6d7813	Ton That Tu Nguyen	7/22/24 1:06	33	            # ensure reports directory exists
3a6d7813	Ton That Tu Nguyen	7/22/24 1:06	34	            os.makedirs(target_dir, exist_ok=True)
3a6d7813	Ton That Tu Nguyen	7/22/24 1:06	35	            return target_dir
3a6d7813	Ton That Tu Nguyen	7/22/24 1:06	36	        else:
